SIFRA,"IME_VOLISCA"
101001,"Rateče Planica, Vrtec Rateče, Rateče 18"
101002,"Podkoren, KS Podkoren, Podkoren 15"
101003,"Kranjska Gora 1, Občina Kr.Gora,Kolodvorska ul.1b"
101004,"Kranjska Gora 2,OŠ Kranjska Gora,Koroška ulica 12"
101005,"Gozd Martuljek, Gasilski dom, Zgornje Rute 85"
101006,"Dovje, Kulturni dom, Dovje 109"
101007,"Mojstrana, OŠ 16.december,Ulica Alojza Rabiča 7"
101008,"Stara gostilna Psnak, Zgornja Radovna 17"
101009,"Hrušica 1,Prostovoljno gasilsko društvo,Hrušica13"
101010,"Hrušica 2, Kulturni dom na Hrušici, Hrušica 55 a"
101011,"Planina pod Golico,Krajevna skupnost, Pl.podG.31"
101012,"Plavški Rovt, hiša Klinar Štefan, Plavški Rovt 14"
101013,"Plavž 1,Dom upok.dr.F.Bergelja,pritličje stavbe C"
101014,"Plavž 2,Avla Zdrav.doma Jesenice, Cesta m.Tita 78"
101015,"Plavž 3, pritličje OŠ Tone Čufar učil.1, Jesenice"
101016,"Plavž 4, JEKO d.o.o., Cesta maršala Tita 51"
101017,"Plavž 5,Vrtec A.Ocepek,Jesen.,C.Cirila Tavčarja3a"
101018,"Sava 1, Krajevna skupnost Sava, Pod gozdom 2"
101019,"Sava 2, OŠ Prežihov Voranc, C. Toneta Tomšiča 5"
101020,"Sava 3, OŠ Prežihov Voranc, C.Toneta Tomšiča 5"
101021,"Sava 4, OŠ Polde Stražišar, Ul. V.Kejžarja 35"
101022,"Sava 5, Srednja šola,Ulica bratov Rupar 2, Jesen."
101023,"Podmežakla1,Sejna soba ZŠ Jesenice,Ledarska ul.6a"
101024,"Podmežakla 2, Krajevna skupnost,Mencingerjeva u.1"
101025,"Javorniški Rovt, Gasilski dom Javorniški Rovt"
101026,"Javornik-Kor. Bela 1, OŠ Koroška Bela, C.Talcev 2"
101027,"Javornik-Kor. Bela 2, OŠ Koroška Bela, C.Talcev 2"
101028,"Javornik-Kor.Bela 3,Delavski dom,Kidričeva 37 c"
101029,"Javornik-Kor. Bela 4,Delavski dom,Kidričeva 37 c"
101030,"Blejska Dobrava, Jedilnica OŠ, Blejska Dobrava 44"
101031,"Kočna, orodišče Gasilskega društva Kočna"
101032,"Moste, TVD PARTIZAN, Žirovnica 63"
101033,"Breg, Elektrarna Moste, Moste 41"
101034,"Žirovnica, Čopova rojstna hiša, Žirovnica 14"
101035,"Selo, Zabreznica, OŠ Žirovnica, Zabreznica 4"
101036,"Breznica,Doslovče,Vrba,Občina Žirovnica,Breznica3"
101037,"Smokuč, Rodine, Gasilski dom Smokuč, Smokuč 46"
102001,"Gasilski dom Mlino, Mlinska cesta 26, Bled"
102002,"Gasilski dom Rečica, Rečiška cesta 4, Bled"
102003,"Občina Bled, Cesta svobode 13, Bled"
102004,"Osnovna šola Bled, Seliška cesta 3, Bled"
102005,"INFOCENTER TRIGLAVSKA ROŽA BLED, Ljubljanska c.27"
102006,"Kulturni dom Bohinjska Bela, Bohinjska Bela  37"
102007,"Gostilna Kunavc, Krnica 21, Zg. Gorje"
102008,"Osnovna šola Gorje, Zg. Gorje 44 a, Zg. Gorje"
102009,"Gorjanski dom, Zg. Gorje 46, Zg. Gorje"
102010,"Dom upokojencev Spodnje Gorje, Sp. Gorje 208"
102011,"Gasilski dom Podhom, Podhom 15, Zg. Gorje"
102012,"Zadružni dom Ribno, Izletniška ul.11, Bled"
102013,"Natura hotel LUKANC, Selo pri Bledu 8"
102014,"Kulturni dom Zasip, Sebenje 6, Bled"
102015,"Vrtec Bohinjska Bistrica, Mencingerjeva ulica 4"
102016,"Dom Joža Ažmana, Triglavska c. 16, Boh. Bistrica"
102017,"Gasilski dom Bitnje, Bitnje 13, Boh. Bistrica"
102018,"Gasilski dom Nomenj, Nomenj 23, Boh. Bistrica"
102019,"Turistično društvo Bohinj,Ribčev Laz 48, B.jezero"
102020,"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica"
102021,"Gasilski dom Nemški rovt,Nemški rovt18,B.Bistrica"
102022,"Gasilski dom Koprivnik, Koprivnik 3 b, B.Bistrica"
102023,"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica"
102024,"Gasilski dom Srednja vas, Srednja vas 83"
102025,"Gasilski dom Bohinj. Češnjica, Bohin. Češnjica 79"
102026,"Pri Zdenki Platiša,Podjelje 15 a,Sr.vas v Bohinju"
102027,"Kulturni dom Stara Fužina,Stara Fužina 53b,B.jez."
102028,"Pri Milanu Talerju,Studor v Bohinju 5a,Sr.vas v B"
103001,"Klub upokojencev Begunje,Begunje na Gorenjskem 23"
103002,"VETERINARSKA AMBULANTA ZAPUŽE, Zapuže 3a"
103003,"GASILSKO ORODIŠČE, pri hiši Konc, Dvorska vas 20a"
103004,"Gasilski dom Slatna, Slatna 15"
103005,"Dom krajanov Brezje, Brezje 80 c"
103006,"Dom krajanov Kamna Gorica, Kamna Gorica 58"
103007,"Avla Sindikalnega doma Kropa, Kropa 3"
103008,"KULTURNI DOM LANCOVO, Lancovo 30"
103009,"Gasilski dom Hlebce, Hlebce 9"
103010,"Turistična kmetija PR GROM, Hraše 17 c"
103011,"Stanovanjska hiša pri Čopu, Studenčice 4 a"
103012,"Družbeni center Lesce, Alpska cesta 58, Lesce"
103013,"OŠ F.S. Finžgarja Lesce, Begunjska cesta 7, Lesce"
103014,"Dom ŠD Ljubno, Ljubno 114"
103015,"Vrtec na Posavcu, Posavec 86"
103016,"Kulturni dom Mošnje, Mošnje 41"
103017,"GASILSKI DOM PODNART, Podnart 13"
103018,"ŠPORTNI PARK POSLOVALNICA DOMINVEST-a Radovljica"
103019,"Srednja gost.in tur.šola Radovljica,Kranjska c.24"
103020,"Avla Občine Radovljica,Gorenjska c.19, Radovljica"
103021,"Ekon.gimnazija in sr.šola Radovljica,Gorenjska 13"
103022,"OŠ ANTONA TOMAŽA LINHARTA,Kranjska c.27,Radovljic"
103023,"Stanovanjska hiša Jensterle, Nova vas 45"
103024,"Stanovanjska hiša Rezar Jože,Vrbnje 11,Radovljica"
103025,"Gasilski dom Srednja Dobrava, Srednja Dobrava 7"
103026,"Prostor KS Otok, Zgornji Otok 6 a"
104001,"Center, Avla Mestne občine Kranj, Slovenski trg 1"
104002,"Čirče, Dom KS, Smledniška cesta 136, Kranj"
104003,"Klanec II, Dom krajanov, Jezerska cesta 41, Kranj"
104004,"Bratov Smuk I,OŠ Matije Čopa, Ul. Tuga Vidmarja 1"
104005,"Bratov Smuk II,OŠ Matije Čopa, Ul.Tuga Vidmarja 1"
104006,"Klanec I, Dom krajanov, Jezerska cesta 41, Kranj"
104007,"Primskovo I, Dom krajanov, Jezerska c. 41, Kranj"
104008,"Primskovo II, Dom krajanov, Jezerska c. 41, Kranj"
104009,"Vodov.stolp III,OŠ Simon Jenko,Ul.XXXI.divizije7a"
104010,"Vodov.stolp II,OŠ Simon Jenko,Ul.XXXI.divizije 7a"
104011,"Vodov.stolp I,OŠ Simon Jenko, Ul.XXXI.divizije 7a"
104012,"Kokrica II, Kulturni dom Kokrica, C. na Brdo 30"
104013,"Kokrica I, Kulturni dom Kokrica, C. na Brdo 30"
104014,"Predoslje, Kulturni dom, Predoslje 34"
104016,"Britof, Gasilski dom, Britof 316"
105001,"Huje II, OŠ Jakob Aljaž, Ul.TončkaDežmana 1,Kranj"
105002,"Huje I, OŠ Stane Žagar, C. 1.maja 10 a, Kranj"
105003,"Planina II, OŠ Stane Žagar, C. 1. maja 10a, Kranj"
105004,"Planina I, OŠ Stane Žagar, C. 1. maja 10 a, Kranj"
105005,"Zlato polje I, OŠ F.Prešeren,Kidričeva c.49,Kranj"
105006,"Zlato Polje II, Oš F.Prešeren,Kidričeva c. 49, KR"
105007,"Struževo, Dom KS"
105008,"Smučarski skakalni center Gorenja Sava, Kranj"
105009,"Stražišče I, Šmartinski dom,Škofjeloška c.18, KR"
105010,"Stražišče II, Šmartinski dom,Škofjeloška c.18, KR"
105011,"Orehek I, Osnovna šola, Zasavska cesta 53 a,Kranj"
105012,"Orehek II, Osnovna šola, Zasavska cesta 53a,Kranj"
105013,"Breg ob Savi,Gasil.dom Breg ob Savi,Br.ob Savi 34"
105014,"Mavčiče, Družbeni objekt, Mavčiče 102"
105015,"Podreča, Krelj Thomas, Podreča 74"
105016,"Žabnica, Telovadnica, Žabnica 20"
105017,"Bitnje II, Gasilski dom, Zgornje Bitnje 33"
105018,"Zgornje Bitnje, Gasilski dom, Zgornje Bitnje 33"
105019,"Pševo, Dom KS Jošt, Pševo 3"
105020,"Sp. Besnica,Gasilski dom Besnica,Na hribu 7,Sp.B."
105021,"Podblica, Gasilski dom Podblica, Podblica 2"
106001,"Volišče Adergas,  Adergas 12"
106002,"Cerklje na Gor. I, OŠ D.Jenko, Krvavška cesta 2"
106003,"Cerklje na Gor. II, OŠ D.Jenko, Krvavška cesta 2"
106004,"Češnjevek, Vaški dom, Češnjevek 11 a"
106005,"Lahovče, Gasilski dom, Lahovče 74"
106006,"Praprotna polica, Vaški dom Praprotna polica"
106007,"Poženik, Vaški dom Poženik, Poženik 6"
106008,"Spodnji Brnik, Gasilski dom Sp.Brnik, Sp.Brnik 5a"
106009,"Šenturška Gora, Krajevni dom, Šenturška Gora 11"
106010,"Štefanja Gora, Gasilski dom, Štefanja Gora 30"
106011,"Velesovo, Gasilski dom, Velesovo 53"
106012,"Zalog, Osnovna šola, Zalog pri Cerkljah 29"
106013,"Zgornji Brnik, Gasilski dom, Zgornji Brnik 8"
106014,"Golnik, Kranjski vrtci-Enota Ostržek, Golnik 54"
106015,"Goriče,OŠ Simon Jenko-telovadnica,Sr.vas-Goriče 1"
106016,"Hrastje, Športni center Graben, Hrastje 209"
